track_name,artist_name,album_name,release_date,popularity,track_id,region
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,2024-08-16,100,2plbrEY59IikOBgBGLjaoe,Global
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),2024-04-12,85,2FQrifJ1N335Ljm3TjTVVf,Global
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,97,6dOtVTDdiauQNBQEDOtlAB,Global
Smile,Morgan Wallen,Smile,2024-12-31,83,3MJ6lFNV12FSHAOzTzkwxz,Global
APT.,"ROSÉ, Bruno Mars",APT.,2024-10-18,95,5vNRhkKd0yEAg8suGBpjeY,Global
Lose Control,Teddy Swims,Lose Control,2023-06-23,81,6usohdchdzW9oML7VC4Uhk,Global
luther (with sza),"Kendrick Lamar, SZA",GNX,2024-11-22,89,45J4avUb9Ni0bnETYaYFVJ,Global
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2024-10-18,96,7ne4VBA60CxGM75vw0EYad,Global
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",I Had Some Help,2024-05-10,82,7221xIgOnuakPdLqT0F3nP,Global
Espresso,Sabrina Carpenter,Espresso,2024-04-12,88,2qSkIjg1o9h3YT9RAgYN75,Global
tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",GNX,2024-11-22,91,0aB0v4027ukVziUGwVGYpG,Global
Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,90,5G2f63n7IPVPPjfNIGih7Q,Global
Love Somebody,Morgan Wallen,Love Somebody,2024-10-18,85,7hR22TOX3RorxJPcsz5Wbo,Global
Beautiful Things,Benson Boone,Beautiful Things,2024-01-18,85,6tNQ70jh4OwmPGpYy6R2o9,Global
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Timeless,2024-09-27,92,1Es7AUAhQvapIcoh3qMKDL,Global
"Dum, Dumb, and Dumber (with Young Thug & Future)","Lil Baby, Young Thug, Future",WHAM (Extended Version),2025-01-10,74,4IKvw1OdeTJIN3g4zWE38f,Global
Too Sweet,Hozier,Unheard,2024-03-22,76,4IadxL6BUymXlh8RCJJu7T,Global
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",CHROMAKOPIA,2024-10-28,89,3tFed7YsjGnIfxeLEQwx3R,Global
squabble up,Kendrick Lamar,GNX,2024-11-22,88,0nj9Bq5sHDiTxSHunhgkFb,Global
Stargazing,Myles Smith,Stargazing,2024-05-10,86,3Vr3zh0r7ALn8VLqCiRR10,Global
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,92,0WbMK4wrZ1wFSty9F7FCgu,Global
30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",SOS Deluxe: LANA,2024-12-20,85,3aSWXU6owkZeVhh94XxEWO,Global
Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,87,6AI3ezQ4o3HUoP6Dhudph3,Global
Messy,Lola Young,Messy,2024-05-30,89,3SKH53SPQbEnZR4cJPVaz2,Global
High Road (feat. Jessie Murph),"Koe Wetzel, Jessie Murph",High Road (feat. Jessie Murph),2024-06-07,72,73KAidtqbDftZjy8AD0H04,Global
WHATCHU KNO ABOUT ME (with Sexyy Red),"GloRilla, Sexyy Red",WHATCHU KNO ABOUT ME (with Sexyy Red),2024-10-10,75,4VI2Y5xg4gYynQqNQNQbTN,Global
NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,93,5TFD2bmFKGhoCRbX61nXY5,Global
BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,94,2lTm559tuIvatlT1u0JYG2,Global
Tweaker,G3 GELO,Tweaker,2025-01-03,80,5nk6BxN9bM5rLNkA3pMOzn,Global
Sailor Song,Gigi Perez,Sailor Song,2024-07-26,49,0UYnhUfnUj5adChuAXvLUB,Global
Wind Up Missin' You,Tucker Wetmore,Wind Up Missin' You,2024-03-29,20,5JRYVSZ6K2jY0kznYBmoqr,Global
Please Please Please,Sabrina Carpenter,Please Please Please,2024-06-06,84,5N3hjp1WNayUPZrA8kJmJP,Global
I Am Not Okay,Jelly Roll,I Am Not Okay,2024-06-12,43,76ODTQOl0JZQbhfxs6nRV9,Global
BMF,SZA,SOS Deluxe: LANA,2024-12-20,89,3U3hFkMr0Q90pD24EkE3Pr,Global
Bed Chem,Sabrina Carpenter,Short n' Sweet,2024-08-23,87,1UHS8Rf6h5Ar3CDWRd3wjF,Global
VOY A LLeVARTE PA PR,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,92,59D4DOkspUbWyMmbAPQkxZ,Global
EL CLúB,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,89,0iKo4pNNjHHdKUcFARlfCa,Global
DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,96,3sK8wGT43QFpWrvNQsrQya,Global
Who,Jimin,MUSE,2024-07-19,90,7tI8dRuH2Yc6RuoTjxo4dU,Global
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,2024-04-26,87,5AJ9hqTS2wcFQCELCFRO7A,Global
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,92,3QaPy1KgI7nu9FJEQUgn6h,Global
Lies Lies Lies,Morgan Wallen,Lies Lies Lies,2024-07-05,80,7Fzl7QaTu47WyP9R5S5mh5,Global
VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",DeBÍ TiRAR MáS FOToS,2025-01-05,91,7d6yK8v8J484SWH5prIQiE,Global
By Myself (feat. Rod Wave & Rylo Rodriguez),"Lil Baby, Rylo Rodriguez, Rod Wave",WHAM (Extended Version),2025-01-10,66,4pnwBTwGbXdZYgPhYJPRsr,Global
PERFuMITO NUEVO,"Bad Bunny, RaiNao",DeBÍ TiRAR MáS FOToS,2025-01-05,90,1Q9Efnm5csdCMFynISxL2x,Global
Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",CHROMAKOPIA,2024-10-28,90,6jbYpRPTEFl1HFKHk1IC0m,Global
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,85,1k2pQc5i348DCHwbn5KTdc,Global
No One Noticed,The Marías,Submarine,2024-05-31,86,3siwsiaEoU4Kuuc9WKMUy5,Global
Liar,Jelly Roll,Beautifully Broken,2024-10-10,75,0llPOBVoJYDAtdmVlNE41A,Global
Outfit (with 21 Savage),"Lil Baby, 21 Savage",WHAM (Extended Version),2025-01-10,70,6B2FtBtIds4rqeLPTW0D76,Global
Stuff (feat. Travis Scott),"Lil Baby, Travis Scott",WHAM (Extended Version),2025-01-10,77,6JvIjI8H3yxpigROd3Cv9N,Global
WELTiTA,"Bad Bunny, Chuwi",DeBÍ TiRAR MáS FOToS,2025-01-05,91,5WEF0icHWmAZBBMglBd599,Global
Redbone (with GloRilla),"Lil Baby, GloRilla",WHAM (Extended Version),2025-01-10,64,7nP8jrKvubPXbVHE52OPdo,Global
EoO,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,90,6J5kc12BW5HuP3d7C3vvx8,Global
I Never Lie,Zach Top,Cold Beer & Country Music,2024-04-05,79,3t6gUcGYLrUuqwpXjOFWQc,Global
I'm Gonna Love You,"Cody Johnson, Carrie Underwood",How Do You Sleep At Night?,2024-10-11,40,3C94TlV5KIavC4EjzK2AHf,Global
F U 2x,Lil Baby,WHAM (Extended Version),2025-01-10,69,2ubNuGSCWRRxUfojPRebiA,Global
4×4×U,Lainey Wilson,4×4×U,2024-07-04,59,0ZHdP6TzcInPSdQwQ1fkBZ,Global
KETU TeCRÉ,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,88,4c2Pc0NrfkesPR0jff6q3F,Global
PIToRRO DE COCO,Bad Bunny,PIToRRO DE COCO,2024-12-26,77,1OSOHTBFkIkhUtxhOyUksc,Global
Indigo (feat. Avery Anna),"Sam Barber, Avery Anna",Restless Mind,2024-11-01,83,1KZG1H1OCugGqIRmk1wF9m,Global
Loco,Neton Vega,Loco,2024-12-20,87,63EQbNhgaih4yg5412usWG,Global
