track_name,artist_name,album_name,release_date,popularity,track_id,region,features,languages
Die With A Smile,Lady Gaga,Die With A Smile,2024-08-16,100,2plbrEY59IikOBgBGLjaoe,Global,['Bruno Mars'],Unknown
A Bar Song,Shaboozey,A Bar Song (Tipsy),2024-04-12,85,2FQrifJ1N335Ljm3TjTVVf,Global,[],Unknown
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,97,6dOtVTDdiauQNBQEDOtlAB,Global,[],Unknown
Smile,Morgan Wallen,Smile,2024-12-31,83,3MJ6lFNV12FSHAOzTzkwxz,Global,[],Unknown
APT.,ROSÉ,APT.,2024-10-18,95,5vNRhkKd0yEAg8suGBpjeY,Global,['Bruno Mars'],Unknown
Lose Control,Teddy Swims,Lose Control,2023-06-23,81,6usohdchdzW9oML7VC4Uhk,Global,[],Unknown
luther,Kendrick Lamar,GNX,2024-11-22,89,45J4avUb9Ni0bnETYaYFVJ,Global,['SZA'],Unknown
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2024-10-18,96,7ne4VBA60CxGM75vw0EYad,Global,[],Unknown
I Had Some Help,Post Malone,I Had Some Help,2024-05-10,82,7221xIgOnuakPdLqT0F3nP,Global,['Morgan Wallen'],Unknown
Espresso,Sabrina Carpenter,Espresso,2024-04-12,88,2qSkIjg1o9h3YT9RAgYN75,Global,[],Unknown
tv off,Kendrick Lamar,GNX,2024-11-22,91,0aB0v4027ukVziUGwVGYpG,Global,['Lefty Gunplay'],Unknown
Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,90,5G2f63n7IPVPPjfNIGih7Q,Global,[],Unknown
Love Somebody,Morgan Wallen,Love Somebody,2024-10-18,85,7hR22TOX3RorxJPcsz5Wbo,Global,[],Unknown
Beautiful Things,Benson Boone,Beautiful Things,2024-01-18,85,6tNQ70jh4OwmPGpYy6R2o9,Global,[],Unknown
Timeless,The Weeknd,Timeless,2024-09-27,92,1Es7AUAhQvapIcoh3qMKDL,Global,['Playboi Carti'],Unknown
"Dum, Dumb, and Dumber",Lil Baby,WHAM (Extended Version),2025-01-10,74,4IKvw1OdeTJIN3g4zWE38f,Global,"['Young Thug', 'Future']",Unknown
Too Sweet,Hozier,Unheard,2024-03-22,76,4IadxL6BUymXlh8RCJJu7T,Global,[],Unknown
Sticky,Tyler,CHROMAKOPIA,2024-10-28,89,3tFed7YsjGnIfxeLEQwx3R,Global,"['The Creator', 'GloRilla', 'Sexyy Red', 'Lil Wayne']",Unknown
squabble up,Kendrick Lamar,GNX,2024-11-22,88,0nj9Bq5sHDiTxSHunhgkFb,Global,[],Unknown
